start_time,end_time,service_provider,longi ,lati,upload_speed,download_speed,delay,cell_id_1,plmn_1,rssi_1,earfcn_1,Pic_1,rsrp_1,rsrq_1,sinr_1,cell_id_2,plmn_2,rssi_1,earfcn_2,pic_2,rsrp_2,rsrq_2,sinr_2,altitude
2022-06-14 19_58_45.534129,2022-06-14 19_59_46.955548,Airtel,NA,NA,24.937842966365,10.5536547428088,61.03,233523980,40449,-55dB,1415,337,-84dBm,-10dB,10dB,233523980,40449,-61dB,1415,337,-89dBm,-10dB,3dB,4
2022-06-14 19_59_52.081756,2022-06-14 20_00_41.299687,Airtel,NA,NA,22.6786924167806,10.4609511076896,59.205,233523980,40449,-61dB,1415,337,-89dBm,-10dB,7dB,233523980,40449,-55dB,1415,337,-84dBm,-10dB,7dB,4
2022-06-14 20_02_02.994719,2022-06-14 20_03_01.159013,Airtel,NA,NA,0.933480384495996,2.50680327700715,61.778,233523980,40449,-66dB,1415,337,-98dBm,-15dB,-3dB,233523980,40449,-80dB,1415,249,-121dBm,-15dB,-10dB,5
2022-06-14 20_03_39.817090,2022-06-14 20_04_28.603963,Airtel,NA,NA,21.7042894357527,11.4677970714523,55.934,233523467,40449,-62dB,1415,249,-96dBm,-15dB,-1dB,233523467,40449,-62dB,1415,249,-96dBm,-15dB,1dB,5
2022-06-14 20_04_34.359057,2022-06-14 20_05_35.508875,Airtel,NA,NA,2.63949630314071,1.45931218364514,57.255,233523467,40449,-62dB,1415,249,-96dBm,-15dB,0dB,233523467,40449,-62dB,1415,468,-92dBm,-15dB,0dB,5
2022-06-14 20_05_42.597525,2022-06-14 20_06_43.251361,Airtel,NA,NA,5.33077767702371,2.4999341144612,55.77,232175883,40449,-62dB,1415,468,-92dBm,-15dB,2dB,232175883,40449,-62dB,1415,468,-97dBm,-15dB,0dB,5
2022-06-14 20_06_52.527031,2022-06-14 20_07_46.788874,Airtel,NA,NA,7.27415855263269,2.1587513012268,61.39,232175883,40449,-62dB,1415,468,-92dBm,-15dB,2dB,232175883,40449,-62dB,1415,468,-92dBm,-15dB,1dB,5
2022-06-14 20_09_14.499843,2022-06-14 20_10_04.457758,Airtel,NA,NA,17.6995706390887,16.6010184829269,58.216,233523467,40449,-70dB,1415,249,-106dBm,-16dB,-3dB,233523467,40449,-59dB,1415,,-91dBm,-11dB,7dB,6
2022-06-14 20_10_12.196645,2022-06-14 20_11_02.979342,Airtel,NA,NA,17.3831815434886,3.96610519956088,64.828,233523980,40449,-59dB,1415,,-97dBm,-11dB,3dB,233523980,40449,-59dB,1415,,-85dBm,-11dB,10dB,6
2022-06-14 20_11_08.834801,2022-06-14 20_12_04.813732,Airtel,NA,NA,16.8995274665571,3.17713638809024,58.114,233523980,40449,-59dB,1415,,-85dBm,-11dB,7dB,233523980,40449,-55dB,1415,,-84dBm,-11dB,9dB,6
2022-06-14 20_12_11.631128,2022-06-14 20_12_57.350398,Airtel,NA,NA,14.6257631171007,2.02818901745392,60.379,233523980,40449,-55dB,1415,,-84dBm,-11dB,11dB,233523980,40449,-57dB,3646,,-78dBm,-11dB,7dB,6
2022-06-14 20_13_04.815549,2022-06-14 20_13_57.417185,Airtel,NA,NA,11.837346097461,7.27292953026236,52.245,233524010,40449,-49dB,3646,,-78dBm,-11dB,7dB,233524010,40449,-49dB,3646,,-80dBm,-11dB,5dB,6
2022-06-14 20_15_17.313383,2022-06-14 20_16_17.946500,Airtel,NA,NA,7.21147774177928,10.2787657771251,63.027,233523980,40449,-62dB,1415,337,-100dBm,-16dB,-3dB,233523980,40449,-62dB,1415,,-97dBm,-11dB,3dB,7
2022-06-14 20_16_25.752113,2022-06-14 20_17_04.783479,Airtel,NA,NA,12.4853123612908,2.81340258210853,59.365,233523980,40449,-62dB,1415,,-97dBm,-11dB,2dB,233523980,40449,-55dB,3646,,-84dBm,-11dB,1dB,7
2022-06-14 20_17_29.948469,2022-06-14 20_18_17.798626,Airtel,NA,NA,12.8312187198158,5.4372676254906,61.536,233524010,40449,-55dB,3646,,-84dBm,-11dB,3dB,233524010,40449,-54dB,3646,,-84dBm,-11dB,-1dB,7
2022-06-14 20_18_55.836498,2022-06-14 20_19_57.351792,Airtel,NA,NA,14.3165111542219,5.23624717471764,60.1,233524010,40449,-67dB,3646,,-90dBm,-11dB,0dB,233524010,40449,-48dB,3646,337,-79dBm,-9dB,7dB,7
2022-06-14 20_20_39.491643,2022-06-14 20_21_34.087585,Airtel,NA,NA,14.7919367760283,7.37502467807225,63.555,233524010,40449,-49dB,3646,337,-77dBm,-12dB,4dB,233524010,40449,-57dB,3646,337,-89dBm,-12dB,-4dB,7
2022-06-14 20_24_13.810470,2022-06-14 20_25_09.134645,Airtel,NA,NA,6.84542604875006,6.09034528808196,72.108,233523467,40449,-64dB,1415,249,-91dBm,-8dB,12dB,233523467,40449,-57dB,1415,337,-89dBm,-13dB,6dB,0
2022-06-14 20_25_26.777526,2022-06-14 20_26_26.359562,Airtel,NA,NA,13.8879237173896,3.40006206304876,61.438,233523980,40449,-57dB,1415,337,-89dBm,-13dB,12dB,233523980,40449,-66dB,3646,337,-92dBm,-13dB,3dB,0
2022-06-14 20_26_40.234762,2022-06-14 20_27_40.998120,Airtel,NA,NA,12.3554487810033,7.64409221481795,60.384,233524010,40449,-60dB,3646,337,-83dBm,-13dB,10dB,233524010,40449,-57dB,3646,337,-88dBm,-13dB,5dB,0
2022-06-14 20_27_46.033561,2022-06-14 20_28_47.390669,Airtel,NA,NA,4.55454753494498,5.2101222617477,64.292,233524010,40449,-57dB,3646,337,-88dBm,-13dB,2dB,233524010,40449,-72d0B,39150,66,-100dBm,-13dB,8dB,0
2022-06-14 20_28_58.384477,2022-06-14 20_29_52.788491,Airtel,NA,NA,3.72673336790869,13.1010995765351,62.004,233523733,40449,-72d0B,39150,66,-106dBm,-13dB,10dB,233523733,40449,-78dB,39150,66,-108dBm,-13dB,8dB,0
2022-06-14 20_31_00.285664,2022-06-14 20_32_02.231539,Airtel,NA,NA,22.5771677834541,20.0345646809411,61.732,233523467,40449,-65dB,1415,249,-95dBm,-5dB,2dB,233523467,40449,-59dB,1415,249,-89dBm,-10dB,10dB,1
2022-06-14 20_32_09.572334,2022-06-14 20_33_03.093061,Airtel,NA,NA,19.9461268829511,27.4145172942062,59.838,233523467,40449,-59dB,1415,249,-89dBm,-10dB,9dB,233523467,40449,-65dB,1415,249,-90dBm,-10dB,7dB,1
2022-06-14 20_34_26.916524,2022-06-14 20_35_19.870006,Airtel,NA,NA,20.4327451960922,10.9068097913998,59.62,233523467,40449,-65dB,1415,249,-95dBm,-10dB,3dB,233523467,40449,-59dB,1415,249,-87dBm,-10dB,14dB,1
2022-06-14 20_35_29.189736,2022-06-14 20_36_32.430432,Airtel,NA,NA,17.0703629352617,34.3953530272897,56.642,233523467,40449,-59dB,1415,249,-87dBm,-10dB,13dB,233523467,40449,-65dB,1415,249,-93dBm,-10dB,7dB,1
2022-06-14 20_37_21.304822,2022-06-14 20_38_07.835230,Airtel,NA,NA,21.6526739758286,36.5208721200496,51.568,233523467,40449,-66dB,1415,249,-95dBm,-10dB,8dB,233523467,40449,-62dB,1415,249,-90dBm,-10dB,10dB,1
2022-06-14 20_40_32.536392,2022-06-14 20_41_33.381692,Airtel,NA,NA,19.1824104304632,34.103040094016,52.679,233523467,40449,-60dB,1415,249,-93dBm,-10dB,4dB,233523467,40449,-59dB,1415,249,-93dBm,-10dB,-1dB,2
2022-06-14 20_41_43.525493,2022-06-14 20_42_44.086400,Airtel,NA,NA,24.765764617651,23.4586141567233,53.779,233523467,40449,-59dB,1415,249,-93dBm,-10dB,-3dB,233523467,40449,-58dB,1415,337,-86dBm,-10dB,11dB,2
2022-06-14 20_42_47.235325,2022-06-14 20_43_44.211269,Airtel,NA,NA,23.5361137959044,18.3027178822993,59.897,233523980,40449,-58dB,1415,337,-86dBm,-10dB,-1dB,233523980,40449,-58dB,1415,249,-86dBm,-10dB,8dB,2
2022-06-14 20_43_50.884659,2022-06-14 20_44_47.474564,Airtel,NA,NA,24.2933703324798,14.0884828853089,59.724,233523467,40449,-58dB,1415,249,-86dBm,-10dB,13dB,233523467,40449,-58dB,1415,249,-83dBm,-9dB,12dB,2
2022-06-14 20_44_59.254162,2022-06-14 20_45_59.937907,Airtel,NA,NA,11.0573815145886,21.913458080317,53.25,233523467,40449,-52dB,1415,249,-83dBm,-9dB,12dB,233523467,40449,-60dB,1415,249,-99dBm,-15dB,1dB,2
