 start_time,end_time,servce_provider,longi,lati,upload_speed,download_speed,delay,bandwith_1,earfcn_1,physical_cell_id_1,plmn_1,global_cell_id_1,ecgi_1,rsrp_1,rsrq_1,sinr_1,bandwith_2,earfcn_2,physical_cell_id_2,plmn_2,global_cell_id_1,ecgi_2,rsrp_2,rsrq_2,sinr_2,altitude
2022-06-14 19_55_02.104157,2022-06-14 19_55_45.047929,JIO,NA,NA,4.62923785663729,21.4169795026653,55.015,20MHz,38750,350,405854,2001938,405854006f01e8c12,-89dBm,-14dB,3dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-99dBm,-14dB,10dB,4
2022-06-14 19_55_50.651630,2022-06-14 19_56_21.898807,JIO,NA,NA,4.83766295854497,16.2909214744498,55.105,20MHz,38750,350,405854,2001938,405854006f01e8c12,-100dBm,-14dB,5dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-93dBm,-14dB,11dB,4
2022-06-14 19_56_46.571407,2022-06-14 19_57_21.117347,JIO,NA,NA,4.8265245402458,18.7394916223513,63.806,20MHz,38750,350,405854,2001938,405854006f01e8c12,-93dBm,-14dB,8dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-93dBm,-14dB,10dB,4
2022-06-14 19_58_03.796317,2022-06-14 19_58_46.217452,JIO,NA,NA,5.48634592795261,11.5661392771026,56.294,20MHz,38750,350,405854,2001938,405854006f01e8c12,-93dBm,-9dB,12dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-93dBm,-14dB,8dB,4
2022-06-14 19_59_01.339528,2022-06-14 19_59_41.272156,JIO,NA,NA,5.79586454100052,9.0385933578034,57.301,20MHz,38750,350,405854,2001938,405854006f01e8c12,-93dBm,-14dB,20dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-93dBm,-14dB,8dB,4
2022-06-14 20_04_11.639461,2022-06-14 20_04_42.677315,JIO,NA,NA,3.79284045011832,8.48980872127398,72.714,20MHz,38750,350,405854,2001938,405854006f01e8c12,-93dBm,-14dB,3dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-93dBm,-14dB,8dB,5
2022-06-14 20_04_54.890169,2022-06-14 20_05_25.261266,JIO,NA,NA,4.0398778929047,16.983771631447,60.083,20MHz,38750,350,405854,2001938,405854006f01e8c12,-93dBm,-14dB,4dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-99dBm,-14dB,0dB,5
2022-06-14 20_05_57.944342,2022-06-14 20_06_35.937097,JIO,NA,NA,5.44453966729904,18.0130458732901,60.689,20MHz,38750,350,405854,2001938,405854006f01e8c12,-99dBm,-9dB,1dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-97dBm,-14dB,3dB,5
2022-06-14 20_07_09.903570,2022-06-14 20_07_42.521079,JIO,NA,NA,5.1935751686144,8.05531055032392,67.163,20MHz,38750,350,405854,2001938,405854006f01e8c12,-97dBm,-14dB,9dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-97dBm,-14dB,5dB,5
2022-06-14 20_09_35.294113,2022-06-14 20_10_08.958990,JIO,NA,NA,5.56627754461193,15.5042422250012,59.734,20MHz,38750,350,405854,2001938,405854006f01e8c12,-94dBm,-9dB,8dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-94dBm,-14dB,7dB,5
2022-06-14 20_10_28.589868,2022-06-14 20_10_59.323980,JIO,NA,NA,4.96718790258291,15.6232541627654,60.582,20MHz,38750,350,405854,2001938,405854006f01e8c12,-94dBm,-14dB,3dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-94dBm,-14dB,6dB,6
2022-06-14 20_11_26.111276,2022-06-14 20_12_00.351279,JIO,NA,NA,5.01529205841132,12.9896760501737,60.373,20MHz,38750,350,405854,2001938,405854006f01e8c12,-94dBm,-14dB,12dB,20MHz,38750,350,405854,2001938,405854006f01e8c12,-94dBm,-14dB,5dB,6
